"id","title","file","subtype","creator","license","post_date","type","size_raw","width","height","caption"
"24595","20170907104602.jpg","https://bio.acousti.ca/sites/default/files/20170907104602.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2049267","2866","2024",""
"24596","20170907104621.jpg","https://bio.acousti.ca/sites/default/files/20170907104621.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2165199","2866","2024",""
"24597","20170907104645.jpg","https://bio.acousti.ca/sites/default/files/20170907104645.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1087894","2338","1654",""
"24598","20170907104712.jpg","https://bio.acousti.ca/sites/default/files/20170907104712.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1871896","2866","2024",""
"24599","20170907104730.jpg","https://bio.acousti.ca/sites/default/files/20170907104730.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1980687","2866","2024",""
"24600","20170907104754.jpg","https://bio.acousti.ca/sites/default/files/20170907104754.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1046839","2338","1654",""
"24601","20170907104822.jpg","https://bio.acousti.ca/sites/default/files/20170907104822.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2192599","2866","2024",""
"24602","20170907104841.jpg","https://bio.acousti.ca/sites/default/files/20170907104841.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2019664","2866","2024",""
"24923","20170926161940.jpg","https://bio.acousti.ca/sites/default/files/20170926161940.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1022549","2338","1654",""
"24924","20170926162011.jpg","https://bio.acousti.ca/sites/default/files/20170926162011.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2301187","2866","2024",""
"24925","20170926162051.jpg","https://bio.acousti.ca/sites/default/files/20170926162051.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1067373","2338","1654",""
"24926","20170926162116.jpg","https://bio.acousti.ca/sites/default/files/20170926162116.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2415779","2866","2024",""
"24927","20170926162211.jpg","https://bio.acousti.ca/sites/default/files/20170926162211.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1080132","2338","1654",""
